ID,Name
FSUSA0A867,American Funds Intl Gr and Inc A
FSUSA067XK,Vanguard FTSE Europe ETF
FSUSA08W8S,Vanguard Total World Stock Index I
FSUSA06HDN,Fidelity Advisor Diversified Intl A
FSUSA06HDO,Fidelity Advisor Dividend Growth A
FSUSA00DQT,EQ/International Value Managed Vol Port
FSUSA00DH2,Empower International Value Instl
FSUSA07847,Voya International High Div Low Vol Port
FSUSA07NOO,VALIC Company I Global Strategy
FSUSA00CZP,Empower Large Cap Value Instl
FSUSA073DK,Empower S&P 500® Index Institutional
FSUSA00DT1,EQ/JPMorgan Value Opportunities
FSUSA00EYM,EQ/Large Cap Growth Managed Vol Port
FSUSA09XFT,Fidelity 500 Index
FSUSA00CE7,Fidelity Advisor Growth & Income A
FSUSA04CJN,Fidelity Strategic Dividend & Income
FSUSA00JU7,Franklin S&P 500 Index A
FSUSA00F2J,Nationwide S&P 500 Index A
FSUSA00F2W,PGIM Jennison Blend A
FSUSA00FJH,Putnam Research A
FSUSA073S0,VALIC Company I Growth
FSUSA04CH9,Vanguard Growth Index
FSUSA0BG2Y,Vanguard Total Stock Market Idx I
FSUSA00DHV,Vanguard Wellington™ Inv
FSUSA00D6Q,Wilshire 5000 Index Instl
FSUSA00C9O,Wilshire Large Company Growth Invmt
FSUSA00CNP,Wilshire Large Company Value Invmt
FSUSA00F6Y,American Century Equity Growth Inv
FSUSA00DHW,DWS Core Equity S
FSUSA07NOL,VALIC Company I Systematic Value
FSUSA04CH8,Vanguard Value Index Inv
FSUSA067XM,Vanguard Emerging Mkts Stock Idx Inv
FSUSA06HEY,American Century Strat Allc: Mod Inv
FSUSA00CZ1,BrighthouseII MFS Value Portfolio
FSUSA00DRW,EQ/Value Equity
FSUSA00BW2,Hartford Balanced HLS IA
FSUSA00BW3,Hartford Capital Appreciation HLS IA
FSUSA00D6N,Hartford Disciplined Equity HLS IA
FSUSA00C7R,Hartford Dividend and Growth HLS IA
FSUSA00BW0,Hartford Stock HLS IA
FSUSA00DSA,Janus Henderson Balanced A2 USD
FSUSA00CUV,Neuberger Berman M/C Intrinsic Val Inv
FSUSA0BG2W,Vanguard Wellesley® Income Inv
FSUSA00J6N,MFS Mid Cap Value A
FSUSA0AW9E,AB Small Cap Growth A
FSUSA00D4K,Empower Small Cap Value Inv
FSUSA0989J,ProFunds - ProFund VP Small-Cap
FSUSA00CJK,T. Rowe Price Small-Cap Stock
FSUSA00D9I,T. Rowe Price Small-Cap Value
FSUSA08IDX,Victory RS Small Cap Growth A
FSUSA00DJ6,American Century Balanced Inv
FSUSA06G77,American Century Heritage Inv
FSUSA09CQP,iShares US Technology ETF
FS00009WJ7,Highclere International SMID Fund
FS0000HOVV,Highclere Quality Value Fund
FSUSA04BJS,T. Rowe Price International Value Eq
FSUSA09L2L,AB Relative Value A
FSUSA06HDV,American Century Focused Lg Cap Val Inv
FSUSA00GO3,Longleaf Partners
FSUSA00907,BlackRock Advantage SMID Cap Instl
FSUSA00DJW,Empower T. Rowe Price Mid Cp Gr Inv
